"Alimento","Total","Até 1 908 (1)","Mais de 1 908 a 2 862","Mais de 2 862 a 5 724","Mais de 5 724 a 9 540","Mais de 9 540 a 14 310","Mais de 14 310","","","","",""
"      Outras","0.145","0.135","0.133","0.128","0.146","0.248","0.195","","","","",""
"   Carnes de outros animais","2.530","1.928","2.306","2.664","3.043","2.917","2.955","","","","",""
"      Carne de cabrito","0.091","0.115","0.153","0.065","0.076","0.079","0.025","","","","",""
"      Carne de carneiro","0.097","0.103","0.101","0.092","0.064","0.069","0.189","","","","",""
"      Linguiça","2.155","1.500","1.833","2.335","2.710","2.645","2.599","","","","",""
"      Outras","0.187","0.211","0.219","0.172","0.194","0.125","0.142","","","","",""
"Vísceras","0.562","0.526","0.654","0.602","0.549","0.543","0.282","","","","",""
"   Vísceras bovinas","0.490","0.470","0.581","0.552","0.435","0.405","0.209","","","","",""
"      Bucho","0.042","0.051","0.029","0.055","0.029","0.040","0.015","","","","",""
"      Fígado","0.312","0.272","0.384","0.367","0.271","0.239","0.139","","","","",""
"      Língua","0.023","0.013","0.032","0.015","0.047","0.029","0.006","","","","",""
"      Outras","0.114","0.135","0.136","0.116","0.088","0.096","0.048","","","","",""
"   Vísceras suínas","0.062","0.049","0.050","0.048","0.095","0.137","0.050","","","","",""
"   Outras vísceras","0.010","0.006","0.023","0.002","0.019","-","0.024","","","","",""
"Pescados","2.796","3.359","3.091","2.319","2.433","2.855","3.230","","","","",""
"   Pescados de água salgada","1.442","1.504","1.375","1.197","1.526","1.716","2.177","","","","",""
"      Anchova fresca","0.012","0.025","0.016","0.003","0.020","-","0.004","","","","",""
"      Bacalhau","0.054","0.017","0.025","0.048","0.076","0.069","0.227","","","","",""
"      Bagre fresco","0.026","0.053","0.044","0.016","0.007","0.002","0.002","","","","",""
"      Cação fresco","0.017","0.003","-","0.021","0.019","0.079","0.033","","","","",""
"      Camarão fresco","0.098","0.083","0.106","0.072","0.126","0.085","0.205","","","","",""
"      Corvina fresca","0.094","0.080","0.089","0.072","0.110","0.270","0.050","","","","",""
"      Merluza em filé congelado","0.020","0.001","0.007","0.025","0.039","0.022","0.055","","","","",""
"      Merluza em filé fresco","0.016","0.006","0.004","0.014","0.048","0.017","0.012","","","","",""
"      Parati fresco","0.002","0.005","0.002","0.001","-","-","-","","","","",""
"      Pescada em filé congelado","0.012","0.010","0.005","0.010","0.017","0.028","0.022","","","","",""
"      Pescada em filé fresco","0.006","-","0.009","0.012","-","0.001","0.015","","","","",""
"      Pescada fresca","0.090","0.106","0.099","0.072","0.056","0.132","0.142","","","","",""
"      Pescadinha fresca","0.014","0.015","0.017","0.012","0.019","0.013","-","","","","",""
"      Sardinha em conserva","0.126","0.118","0.152","0.110","0.132","0.106","0.170","","","","",""
"      Sardinha fresca","0.071","0.085","0.066","0.078","0.057","0.037","0.067","","","","",""
"      Tainha fresca","0.042","0.067","0.016","0.028","0.079","0.015","0.036","","","","",""
"      Outros pescados em filé congelado","0.068","0.047","0.042","0.045","0.073","0.175","0.208","","","","",""
"      Outros pescados em filé fresco","0.114","0.032","0.088","0.093","0.146","0.241","0.376","","","","",""
"      Outros pescados frescos","0.517","0.701","0.550","0.429","0.450","0.408","0.497","","","","",""
"      Outros pescados salgados","0.043","0.052","0.040","0.037","0.054","0.015","0.056","","","","",""
"   Pescados de água doce","0.903","1.198","1.212","0.714","0.674","0.587","0.844","","","","",""
"      Acará fresca","0.009","0.012","0.028","0.003","0.005","-","-","","","","",""
"      Acari fresco","0.018","0.029","0.043","0.010","0.004","-","0.009","","","","",""
"      Anujá fresco","0.018","0.026","0.035","0.011","0.009","0.025","-","","","","",""
"      Curimatã fresco","0.048","0.089","0.072","0.041","0.015","0.005","-","","","","",""
"      Dourada fresca","0.023","0.031","0.029","0.014","0.016","0.031","0.038","","","","",""
"      Jaraqui fresco","0.051","0.097","0.107","0.012","0.045","0.002","-","","","","",""
"      Lambari fresco","0.022","0.032","0.029","0.018","0.017","0.013","0.003","","","","",""
"      Mapará fresco","0.022","0.049","0.027","0.018","0.007","-","-","","","","",""
"      Piau fresco","0.010","0.018","0.016","0.004","0.014","-","-","","","","",""
"      Surubim fresco","0.019","0.017","0.021","0.013","0.024","0.008","0.046","","","","",""
"      Tambaqui fresco","0.180","0.203","0.233","0.143","0.169","0.217","0.122","","","","",""
"      Tilápia fresca","0.129","0.125","0.124","0.154","0.108","0.071","0.135","","","","",""
"      Traíra fresca","0.020","0.020","0.022","0.030","0.004","0.014","-","","","","",""
"      Tucunaré fresco","0.019","0.040","0.027","0.011","0.005","0.008","-","","","","",""
"      Outros pescados em filé congelado","0.033","0.008","0.011","0.016","0.037","0.082","0.209","","","","",""
"      Outros pescados em filé fresco","0.023","0.007","0.004","0.015","0.017","0.023","0.182","","","","",""
"      Outros pescados frescos","0.250","0.381","0.378","0.193","0.166","0.083","0.094","","","","",""
"      Outros pescados salgados","0.008","0.014","0.006","0.007","0.011","0.004","0.007","","","","",""
"   Pescados não especificados","0.450","0.657","0.503","0.408","0.233","0.552","0.209","","","","",""
"      Peixe em filé congelado","0.004","0.003","0.006","0.004","0.004","0.002","0.003","","","","",""
"      Peixe em filé fresco","0.003","-","0.003","0.004","0.003","0.006","0.002","","","","",""
"      Peixe fresco","0.439","0.651","0.494","0.393","0.218","0.544","0.201","","","","",""
"      Peixe salgado","0.004","0.002","-","0.007","0.008","-","0.003","","","","",""
"Aves e ovos","15.764","15.008","15.501","15.622","15.356","17.013","19.491","","","","",""
"   Aves","12.436","12.320","12.317","12.435","11.793","12.413","14.701","","","","",""
"      Asa de frango","0.610","0.386","0.497","0.733","0.602","0.934","0.771","","","","",""
"      Carne de frango não especificada","0.576","0.527","0.511","0.677","0.579","0.551","0.445","","","","",""
"      Coxa de frango","2.074","1.301","1.630","2.269","2.736","2.758","2.737","","","","",""
"      Dorso de frango","0.020","0.027","0.031","0.017","0.009","-","0.024","","","","",""
"      Frango abatido (inteiro)","5.974","8.254","7.264","5.635","3.979","3.252","3.697","","","","",""
"      Frango vivo","0.107","0.191","0.137","0.091","0.042","0.036","0.040","","","","",""
"      Miúdos de frango","0.166","0.096","0.144","0.164","0.222","0.272","0.231","","","","",""
"      Peito de frango","2.460","1.348","1.847","2.542","3.137","3.811","4.611","","","","",""
"      Outras carnes de frango","0.253","0.121","0.118","0.174","0.223","0.210","1.592","","","","",""
"      Pato  inteiro ou em cortes","0.019","0.006","0.015","0.010","0.014","0.032","0.110","","","","",""
"      Peru abatido","0.057","0.018","0.046","0.037","0.076","0.316","0.023","","","","",""
"      Peru em cortes","0.099","0.028","0.056","0.066","0.162","0.210","0.370","","","","",""
"      Outras","0.022","0.019","0.021","0.021","0.010","0.031","0.051","","","","",""
"   Ovos","3.328","2.687","3.184","3.187","3.563","4.600","4.790","","","","",""
"      Ovo de galinha","3.309","2.681","3.171","3.173","3.528","4.568","4.740","","","","",""
"      Outros","0.019","0.006","0.014","0.014","0.036","0.032","0.050","","","","",""
"Laticínios","32.211","20.377","27.370","32.659","38.284","45.614","56.212","","","","",""
"   Leite e creme de leite","27.074","18.293","24.266","28.079","31.452","35.311","41.343","","","","",""
"      Creme de leite","0.469","0.183","0.286","0.484","0.615","0.975","1.021","","","","",""
"      Leite condensado","0.737","0.324","0.510","0.776","1.006","1.300","1.385","","","","",""
"      Leite de vaca fresco","3.838","4.489","5.080","3.761","3.268","2.209","1.511","","","","",""
"      Leite de vaca pasteurizado","20.112","11.678","16.882","21.382","24.663","28.341","32.642","","","","",""
"      Leite em pó desengordurado","0.058","0.035","0.039","0.044","0.047","0.119","0.220","","","","",""
"      Leite em pó integral","0.947","1.130","1.020","0.852","0.878","0.850","0.859","","","","",""
"      Leite em pó não especificado","0.116","0.109","0.141","0.091","0.112","0.072","0.240","","","","",""
"      Outros","0.798","0.344","0.307","0.689","0.862","1.444","3.465","","","","",""
"   Queijos e requeijão","2.185","0.737","1.226","1.820","2.975","5.105","6.855","","","","",""
"      Queijo minas","0.565","0.288","0.340","0.428","0.637","1.395","1.817","","","","",""
"      Queijo mozzarella","0.809","0.222","0.457","0.782","1.199","1.699","2.126","","","","",""
"      Queijo não especificado","0.094","0.051","0.064","0.066","0.114","0.129","0.376","","","","",""
"      Queijo parmezão","0.074","0.017","0.026","0.052","0.095","0.181","0.350","","","","",""
"      Queijo prato","0.267","0.080","0.165","0.217","0.370","0.735","0.724","","","","",""
"      Outros queijos","0.092","0.017","0.026","0.052","0.117","0.204","0.556","","","","",""
"      Requeijão","0.285","0.062","0.147","0.221","0.443","0.761","0.906","","","","",""
"   Outros laticínios","2.952","1.347","1.878","2.760","3.858","5.199","8.014","","","","",""
"      Iogurte","1.554","0.787","1.057","1.435","2.023","2.700","3.913","","","","",""
"      Leite fermentado","0.946","0.334","0.564","0.983","1.271","1.766","2.333","","","","",""
