"Alimento","Total","Até 1 908 (1)","Mais de 1 908 a 2 862","Mais de 2 862 a 5 724","Mais de 5 724 a 9 540","Mais de 9 540 a 14 310","Mais de 14 310"
      Anujá fresco,"0,014","0,015","0,013",-,"0,024","0,109",-
      Curimatã fresco,"0,295","0,413","0,454","0,141","0,090","0,119",-
      Dourada fresca,"0,228","0,207","0,283","0,166","0,208","0,084","0,901"
      Jaraqui fresco,"0,596","0,679","1,084","0,163","0,830","0,050",-
      Lambari fresco,"0,141","0,132","0,254","0,130","0,051",-,-
      Mapará fresco,"0,249","0,333","0,278","0,229","0,079",-,-
      Piau fresco,"0,071","0,093","0,066",-,"0,247",-,-
      Surubim fresco,"0,086","0,123","0,078","0,075","0,034","0,059",-
      Tambaqui fresco,"1,182","0,685","1,377","1,040","2,151","3,523","1,554"
      Tilápia fresca,"0,017","0,016",-,"0,041",-,-,-
      Traíra fresca,"0,043","0,048","0,065","0,038",-,"0,069",-
      Tucunaré fresco,"0,164","0,229","0,231","0,067","0,088","0,187",-
      Outros pescados em filé congelado,"0,003","0,001",-,"0,005",-,-,"0,040"
      Outros pescados em filé fresco,"0,043","0,020","0,009","0,067","0,081",-,"0,267"
      Outros pescados frescos,"2,092","2,161","2,679","1,876","1,901","0,888","1,075"
      Outros pescados salgados,"0,040","0,036","0,022","0,042","0,078","0,084",-
   Pescados não especificados,"1,741","1,728","1,757","1,824","1,640","2,260","0,741"
      Peixe em filé congelado,-,-,-,-,-,-,-
      Peixe em filé fresco,"0,007",-,-,-,"0,055",-,"0,057"
      Peixe fresco,"1,728","1,715","1,757","1,820","1,586","2,260","0,685"
      Peixe salgado,"0,006","0,013",-,"0,004",-,-,-
Aves e ovos,"19,907","20,093","19,273","18,887","22,404","24,183","18,572"
   Aves,"17,349","18,073","16,950","16,319","19,148","18,705","13,228"
      Asa de frango,"0,216","0,132","0,162","0,222","0,387","0,429","0,818"
      Carne de frango não especificada,"0,482","0,463","0,510","0,660","0,256","0,070","0,064"
      Coxa de frango,"0,645","0,430","0,512","0,645","1,187","1,073","2,018"
      Dorso de frango,"0,017","0,023",-,-,-,-,"0,287"
      Frango abatido (inteiro),"14,230","15,758","14,587","12,888","14,499","11,996","6,672"
      Frango vivo,"0,327","0,354","0,304","0,437","0,033",-,"0,436"
      Miúdos de frango,"0,040","0,033","0,010","0,060","0,087",-,"0,042"
      Peito de frango,"1,096","0,687","0,659","1,189","2,032","3,471","2,717"
      Outras carnes de frango,"0,040","0,025","0,030","0,042","0,071","0,193","0,019"
      Pato  inteiro ou em cortes,"0,065","0,022","0,081","0,051","0,054","0,639",-
      Peru abatido,"0,164","0,129","0,052","0,103","0,539","0,822",-
      Peru em cortes,"0,007","0,000","0,001","0,007","0,003","0,012","0,156"
      Outras,"0,019","0,017","0,041","0,015",-,-,-
   Ovos,"2,558","2,020","2,322","2,567","3,256","5,478","5,345"
      Ovo de galinha,"2,550","2,012","2,311","2,561","3,243","5,470","5,345"
      Outros,"0,009","0,008","0,012","0,007","0,013","0,008",-
Laticínios,"12,304","8,473","10,654","13,555","20,412","20,073","24,966"
   Leite e creme de leite,"10,219","7,383","8,986","11,549","15,973","14,848","17,967"
      Creme de leite,"0,328","0,184","0,184","0,348","0,827","0,744","0,860"
      Leite condensado,"0,564","0,317","0,421","0,531","1,559","0,974","1,231"
      Leite de vaca fresco,"2,151","1,858","2,180","2,870","1,972","0,952","0,801"
      Leite de vaca pasteurizado,"4,493","2,777","3,809","4,945","7,474","8,523","12,333"
      Leite em pó desengordurado,"0,051","0,033","0,009","0,063","0,152","0,086","0,104"
      Leite em pó integral,"2,089","1,775","1,953","2,180","3,099","2,840","1,965"
      Leite em pó não especificado,"0,237","0,201","0,291","0,200","0,338","0,376","0,187"
      Outros,"0,307","0,238","0,139","0,413","0,553","0,353","0,486"
   Queijos e requeijão,"0,641","0,245","0,467","0,700","1,477","1,728","2,318"
      Queijo minas,"0,091","0,049","0,044","0,134","0,184","0,156","0,175"
      Queijo mozzarella,"0,299","0,101","0,216","0,411","0,581","0,886","0,727"
      Queijo não especificado,"0,071","0,019","0,108","0,046","0,138","0,065","0,497"
      Queijo parmezão,"0,015","0,010","0,011","0,008","0,055","0,020","0,042"
      Queijo prato,"0,099","0,051","0,038","0,075","0,346","0,264","0,369"
      Outros queijos,"0,008","0,001","0,007","0,002","0,021","0,043","0,056"
      Requeijão,"0,058","0,013","0,043","0,025","0,152","0,294","0,451"
   Outros laticínios,"1,444","0,845","1,201","1,306","2,961","3,498","4,681"
      Iogurte,"0,921","0,473","0,775","0,885","1,774","2,455","3,375"
      Leite fermentado,"0,186","0,135","0,150","0,135","0,454","0,432","0,386"
      Manteiga,"0,308","0,209","0,258","0,283","0,666","0,606","0,632"
      Outros,"0,029","0,028","0,017","0,002","0,068","0,006","0,288"
"Açúcares, doces e produtos de confeitaria","12,176","11,180","11,931","11,326","15,690","15,120","19,528"
   Açúcares,"10,266","10,101","10,481","9,433","13,197","8,530","10,904"
      Açúcar cristal,"5,811","5,140","5,956","5,655","7,970","5,923","7,444"
      Açúcar demerara,"0,029",-,-,"0,012","0,094","0,173","0,366"
      Açúcar não especificado,"1,216","1,460","1,340","0,720","1,862","0,537","0,570"
      Açúcar refinado,"3,202","3,501","3,181","3,034","3,256","1,859","2,489"
      Outros,"0,008","0,001","0,004","0,012","0,015","0,038","0,035"
