"Alimento","Total","Até 1 908 (1)","Mais de 1 908 a 2 862","Mais de 2 862 a 5 724","Mais de 5 724 a 9 540","Mais de 9 540 a 14 310","Mais de 14 310"
      Ovo de galinha,"3,137","2,234","2,509","3,123","3,295","4,113","4,417"
      Outros,"0,022","0,003","0,045","0,013","0,036","0,025","0,020"
Laticínios,"33,440","22,586","28,218","35,056","32,156","38,527","48,752"
   Leite e creme de leite,"28,597","21,177","25,581","31,616","26,977","31,548","33,500"
      Creme de leite,"0,522","0,220","0,342","0,481","0,655","0,654","1,029"
      Leite condensado,"0,676","0,302","0,528","0,613","0,888","0,875","1,132"
      Leite de vaca fresco,"6,635","5,317","7,207","7,880","7,423","5,810","2,769"
      Leite de vaca pasteurizado,"19,222","14,852","16,810","21,583","16,883","22,150","22,513"
      Leite em pó desengordurado,"0,009",-,"0,011","0,002","0,001","0,025","0,040"
      Leite em pó integral,"0,415","0,170","0,333","0,507","0,419","0,460","0,521"
      Leite em pó não especificado,"0,050","0,056","0,076","0,021","0,095",-,"0,065"
      Outros,"1,068","0,260","0,274","0,530","0,612","1,574","5,431"
   Queijos e requeijão,"2,061","0,650","0,985","1,518","2,242","3,292","6,187"
      Queijo minas,"0,574","0,227","0,389","0,429","0,442","0,772","1,850"
      Queijo mozzarella,"0,926","0,297","0,418","0,791","1,077","1,507","2,331"
      Queijo não especificado,"0,133","0,016","0,024","0,071","0,171","0,209","0,543"
      Queijo parmezão,"0,046","0,019","0,025","0,041","0,027","0,022","0,179"
      Queijo prato,"0,070","0,024","0,043","0,023","0,078","0,199","0,228"
      Outros queijos,"0,074",-,"0,008","0,019","0,029","0,160","0,457"
      Requeijão,"0,237","0,067","0,079","0,144","0,419","0,422","0,599"
   Outros laticínios,"2,782","0,759","1,652","1,922","2,937","3,687","9,065"
      Iogurte,"1,414","0,435","1,055","1,011","1,777","1,934","3,629"
      Leite fermentado,"0,704","0,234","0,463","0,650","0,817","1,096","1,418"
      Manteiga,"0,582","0,090","0,127","0,152","0,252","0,555","3,831"
      Outros,"0,082",-,"0,007","0,108","0,092","0,103","0,188"
"Açúcares, doces e produtos de confeitaria","13,294","13,321","13,578","11,602","13,333","14,865","17,231"
   Açúcares,"9,730","11,594","11,453","8,615","9,564","9,157","8,962"
      Açúcar cristal,"7,886","9,153","9,346","7,304","8,216","5,854","6,770"
      Açúcar demerara,"0,113",-,"0,103","0,091","0,028","0,174","0,432"
      Açúcar não especificado,"0,503","1,174","0,410","0,232","0,545","0,470","0,606"
      Açúcar refinado,"1,198","1,260","1,592","0,971","0,733","2,635","1,014"
      Outros,"0,031","0,007","0,002","0,016","0,041","0,024","0,141"
   Doces e produtos de confeitaria,"2,627","1,278","1,525","2,080","2,755","4,207","6,576"
      Bombom,"0,136","0,114","0,045","0,135","0,150","0,331","0,159"
      Chocolate em tablete,"0,144","0,076","0,083","0,117","0,072","0,168","0,505"
      Doce a base de leite,"0,110","0,062","0,043","0,146","0,111","0,164","0,120"
      Doce de fruta cristalizado,"0,010",-,-,"0,011","0,009",-,"0,043"
      Doce de fruta em calda,"0,032","0,017","0,001","0,021","0,108","0,029","0,014"
      Doce de fruta em pasta,"0,149","0,144","0,129","0,123","0,120","0,271","0,232"
      Rapadura,"0,199","0,044","0,159","0,040","0,033","0,299","1,166"
      Sorvete,"1,030","0,406","0,557","0,995","1,502","1,368","1,722"
      Outros,"0,817","0,415","0,508","0,491","0,651","1,576","2,615"
"   Outros açúcares, doces e produtos de confeitaria","0,938","0,449","0,600","0,906","1,014","1,501","1,693"
      Chocolate em pó,"0,636","0,423","0,466","0,594","0,685","1,056","0,952"
      Gelatina,"0,038","0,012","0,029","0,033","0,075","0,030","0,050"
      Mel de abelha,"0,044","0,005","0,007","0,054","0,031","0,023","0,146"
      Polpa de fruta,"0,215","0,008","0,098","0,211","0,222","0,386","0,545"
      Outros,"0,006","0,001",-,"0,014","0,001","0,007",-
Sais e condimentos,"3,974","2,442","3,732","3,702","5,057","4,084","5,477"
   Sais,"1,395","1,057","1,635","1,518","1,573","1,163","0,951"
      Sal grosso,"0,083","0,092","0,025","0,054","0,147","0,092","0,146"
      Sal refinado,"1,279","0,964","1,595","1,449","1,375","0,952","0,724"
      Outros,"0,034","0,002","0,014","0,015","0,050","0,119","0,081"
   Condimentos,"2,579","1,385","2,098","2,184","3,485","2,921","4,525"
      Caldo de carne em tablete,"0,020","0,017","0,015","0,025","0,025","0,016","0,009"
      Caldo de galinha em tablete,"0,029","0,009","0,009","0,017","0,034","0,123","0,055"
      Outros caldos em tablete,"0,029","0,002","0,009","0,006","0,025","0,072","0,145"
      Colorau,"0,028","0,005","0,028","0,018","0,061","0,038","0,031"
      Fermento,"0,054","0,028","0,059","0,051","0,041","0,052","0,116"
      Leite de coco,"0,058","0,010","0,016","0,022","0,094","0,080","0,231"
      Maionese,"0,266","0,104","0,264","0,245","0,256","0,443","0,445"
      Massa de tomate,"0,576","0,369","0,612","0,527","0,825","0,515","0,603"
      Molho de tomate,"0,683","0,498","0,355","0,539","0,984","0,648","1,446"
      Tempero misto,"0,156","0,114","0,157","0,160","0,182","0,195","0,134"
      Vinagre de álcool,"0,158","0,015","0,132","0,162","0,287","0,132","0,188"
      Vinagre de vinho,"0,054","0,060","0,044","0,047","0,011",-,"0,191"
      Vinagre não especificado,"0,116","0,002","0,062","0,074","0,229","0,061","0,343"
      Outros,"0,353","0,151","0,336","0,291","0,432","0,547","0,589"
Óleos e gorduras,"7,592","7,152","8,675","7,667","6,852","7,682","7,357"
   Óleos,"6,614","6,430","7,694","6,691","5,558","6,646","6,562"
      Azeite de oliva,"0,261","0,040","0,182","0,202","0,212","0,412","0,830"
      Óleo de girassol,"0,128","0,065",-,"0,070","0,213","0,095","0,486"
      Óleo de canola,"0,022",-,"0,027","0,015","0,022",-,"0,082"
      Óleo de milho,"0,157","0,097","0,099","0,093","0,046","0,133","0,715"
      Óleo de soja,"5,951","6,197","7,253","6,226","4,994","5,956","4,230"
      Óleo não especificado,"0,065","0,028","0,103","0,046","0,047","0,035","0,158"
      Outros,"0,030","0,003","0,029","0,039","0,023","0,014","0,062"
   Gorduras,"0,979","0,722","0,982","0,976","1,294","1,036","0,794"
      Banha de porco,"0,103","0,109","0,108","0,044","0,057","0,398","0,157"
      Margarina vegetal,"0,876","0,613","0,874","0,932","1,237","0,638","0,637"
      Outras,-,-,-,-,-,-,-
Bebidas e infusões,"40,473","21,898","27,004","36,372","39,403","57,316","88,722"
   Bebidas alcoólicas,"8,605","4,234","2,911","8,937","9,176","13,556","17,649"
      Aguardente de cana,"0,092","0,095","0,076","0,110","0,084","0,078","0,082"
      Outras aguardentes,-,-,-,-,-,-,-
      Cerveja,"7,991","4,098","2,614","8,558","8,677","12,486","15,296"
      Vinho,"0,413","0,035","0,121","0,180","0,378","0,925","1,819"
      Outras,"0,109","0,006","0,102","0,089","0,036","0,067","0,452"
   Bebidas não alcoólicas,"28,987","15,182","21,097","24,692","27,011","41,477","67,525"
      Água mineral,"12,208","4,897","10,235","8,220","6,644","17,879","42,399"
      Refrigerante de cola,"7,066","4,348","4,633","7,351","9,110","10,268","8,092"
      Refrigerante de guaraná,"3,573","2,760","2,901","4,074","3,030","5,087","3,843"
      Refrigerante de laranja,"0,882","0,686","0,894","0,992","0,882","1,401","0,419"
      Refrigerante de limão,"0,398","0,026","0,140","0,526","0,584","0,183","0,710"
      Refrigerante de maçã,-,-,-,-,-,-,-
      Refrigerante de uva,"0,161","0,075","0,093","0,263","0,099","0,061","0,200"
      Bebida energética,"0,202","0,016","0,138","0,086","0,580","0,249","0,303"
      Refrigerante não especificado,"1,064","0,725","0,788","0,836","1,736","0,738","1,848"
