"Alimento","Região Nordeste",Maranhão,Piauí,Ceará,"Rio Grande do Norte",Paraíba,"Pernambuco",Alagoas,Sergipe,Bahia
      Outras,"0,034","0,001","0,018","0,031","0,042","0,034","0,040",-,"0,011","0,062"
Panificados,"19,297","11,447","10,636","19,978","20,035","20,952","22,509","17,010","21,918","21,950"
   Pães,"13,797","8,123","6,169","14,673","12,070","14,676","16,167","12,710","17,300","15,993"
      Pão caseiro,"0,043","0,097","0,042","0,003","0,007",-,"0,011",-,"0,024","0,096"
      Pão de forma de padaria,"0,049","0,053","0,059","0,043","0,062","0,057","0,025","0,033","0,051","0,060"
      Pão de forma industrializado,"0,147","0,063","0,130","0,179","0,264","0,093","0,230","0,057","0,231","0,112"
      Pão de milho,"0,063",-,"0,004","0,003","0,039","0,009","0,003","0,022","0,148","0,197"
      Pão de queijo,"0,046","0,090","0,048","0,016","0,025","0,010","0,014","0,004","0,020","0,090"
      Pão doce,"0,541","0,265","0,869","0,304","0,358","0,214","0,613","0,153","1,202","0,815"
      Pão francês,"11,781","7,297","4,787","12,954","9,171","13,057","14,526","8,584","14,022","13,618"
      Pão integral,"0,245","0,066","0,044","0,215","0,267","0,195","0,406","0,096","0,353","0,315"
      Torrada,"0,057","0,056","0,035","0,101","0,086","0,061","0,080","0,022","0,004","0,028"
      Outros,"0,827","0,137","0,152","0,855","1,791","0,982","0,260","3,740","1,243","0,663"
   Bolos,"0,811","0,713","1,338","0,881","1,302","0,959","0,916","0,273","0,483","0,648"
"   Biscoitos, roscas, etc.","4,689","2,611","3,129","4,424","6,663","5,316","5,426","4,027","4,135","5,310"
      Biscoito doce,"2,000","0,791","1,176","1,868","2,776","1,973","2,608","1,611","1,902","2,375"
      Biscoito não especificado,"0,103","0,034","0,002","0,108","0,207","0,092","0,055","0,137","0,099","0,155"
      Biscoito salgado,"2,453","1,681","1,786","2,331","3,325","3,054","2,636","2,092","1,987","2,711"
      Rosca doce,"0,042","0,062","0,079","0,027","0,056","0,052","0,049","0,017","0,023","0,032"
      Rosca não especificada,"0,074","0,017","0,004","0,088","0,284","0,141","0,067","0,168","0,117","0,018"
      Rosca salgada,"0,010","0,026","0,081","0,003","0,004",-,"0,006",-,-,"0,003"
      Outros,"0,006",-,-,-,"0,012","0,005","0,004","0,001","0,007","0,016"
Carnes,"18,664","19,784","22,076","15,442","19,296","16,676","16,279","14,929","23,890","21,293"
   Carnes bovinas de primeira,"3,636","4,265","6,536","3,239","2,321","2,717","2,648","1,814","2,873","4,651"
      Alcatra,"0,295","0,298","0,363","0,224","0,058","0,130","0,289","0,188","0,318","0,448"
