"Alimento","Região Centro Oeste","Mato Grosso do Sul",Mato Grosso,Goiás,Distrito Federal
      Peixe em filé congelado,"0,008","0,037",-,"0,004",-
      Peixe em filé fresco,-,-,-,-,-
      Peixe fresco,"0,265","0,091","0,308","0,375","0,118"
      Peixe salgado,-,-,-,-,-
Aves e ovos,"14,563","12,856","12,642","16,859","12,946"
   Aves,"11,403","9,659","8,585","14,031","10,071"
      Asa de frango,"0,782","0,674","1,110","0,716","0,659"
      Carne de frango não especificada,"0,582","1,381","0,379","0,528","0,222"
      Coxa de frango,"1,601","2,813","1,412","1,485","0,991"
      Dorso de frango,"0,018","0,061",-,-,"0,043"
      Frango abatido (inteiro),"5,490","3,063","4,538","6,986","5,282"
      Frango vivo,"0,059","0,051","0,137","0,049",-
      Miúdos de frango,"0,093","0,102","0,109","0,079","0,098"
      Peito de frango,"1,537","1,259","0,688","1,648","2,497"
      Outras carnes de frango,"1,148","0,093","0,090","2,518","0,114"
      Pato  inteiro ou em cortes,"0,009","0,004","0,040",-,-
      Peru abatido,"0,024","0,142",-,-,-
      Peru em cortes,"0,057","0,017","0,062","0,023","0,164"
      Outras,"0,004",-,"0,019",-,-
   Ovos,"3,160","3,197","4,057","2,828","2,875"
      Ovo de galinha,"3,137","3,189","4,048","2,797","2,845"
      Outros,"0,022","0,009","0,009","0,031","0,029"
Laticínios,"33,440","36,821","36,121","33,656","26,827"
   Leite e creme de leite,"28,597","32,231","32,129","28,761","20,908"
      Creme de leite,"0,522","0,461","0,333","0,566","0,690"
      Leite condensado,"0,676","0,807","0,705","0,548","0,822"
      Leite de vaca fresco,"6,635","7,192","9,392","7,888","0,069"
      Leite de vaca pasteurizado,"19,222","23,020","18,736","18,679","17,613"
      Leite em pó desengordurado,"0,009",-,"0,002","0,007","0,031"
      Leite em pó integral,"0,415","0,393","0,437","0,463","0,298"
      Leite em pó não especificado,"0,050","0,031","0,027","0,074","0,039"
      Outros,"1,068","0,325","2,497","0,536","1,348"
   Queijos e requeijão,"2,061","1,577","1,960","2,068","2,596"
      Queijo minas,"0,574","0,334","0,248","0,796","0,647"
      Queijo mozzarella,"0,926","0,708","1,142","0,815","1,133"
      Queijo não especificado,"0,133","0,119","0,282","0,065","0,134"
      Queijo parmezão,"0,046","0,015","0,029","0,058","0,068"
      Queijo prato,"0,070","0,114","0,044","0,062","0,081"
      Outros queijos,"0,074","0,026","0,081","0,047","0,170"
      Requeijão,"0,237","0,262","0,134","0,224","0,362"
   Outros laticínios,"2,782","3,013","2,032","2,827","3,323"
      Iogurte,"1,414","1,860","1,113","1,223","1,796"
      Leite fermentado,"0,704","1,021","0,571","0,540","0,952"
      Manteiga,"0,582","0,095","0,258","0,963","0,506"
      Outros,"0,082","0,037","0,090","0,101","0,068"
"Açúcares, doces e produtos de confeitaria","13,294","14,013","11,322","13,814","13,686"
   Açúcares,"9,730","10,222","7,926","10,565","9,398"
      Açúcar cristal,"7,886","8,314","6,252","8,999","6,774"
      Açúcar demerara,"0,113","0,144","0,003","0,043","0,371"
      Açúcar não especificado,"0,503","0,175","0,716","0,437","0,706"
      Açúcar refinado,"1,198","1,563","0,941","1,063","1,474"
      Outros,"0,031","0,025","0,014","0,024","0,072"
   Doces e produtos de confeitaria,"2,627","2,776","2,347","2,390","3,365"
      Bombom,"0,136","0,128","0,209","0,086","0,178"
      Chocolate em tablete,"0,144","0,108","0,171","0,071","0,315"
      Doce a base de leite,"0,110","0,101","0,076","0,128","0,117"
      Doce de fruta cristalizado,"0,010",-,"0,022","0,012",-
      Doce de fruta em calda,"0,032","0,063","0,035","0,030","0,005"
      Doce de fruta em pasta,"0,149","0,101","0,152","0,169","0,140"
      Rapadura,"0,199","0,093","0,414","0,100","0,282"
      Sorvete,"1,030","1,467","0,606","1,114","0,924"
      Outros,"0,817","0,715","0,663","0,679","1,405"
"   Outros açúcares, doces e produtos de confeitaria","0,938","1,015","1,050","0,859","0,923"
      Chocolate em pó,"0,636","0,767","0,666","0,612","0,539"
      Gelatina,"0,038","0,045","0,013","0,049","0,036"
      Mel de abelha,"0,044","0,039","0,009","0,036","0,103"
      Polpa de fruta,"0,215","0,153","0,345","0,162","0,245"
      Outros,"0,006","0,012","0,016","0,001",-
Sais e condimentos,"3,974","4,362","4,149","3,830","3,760"
   Sais,"1,395","1,545","1,548","1,497","0,848"
      Sal grosso,"0,083","0,186","0,107","0,031","0,083"
      Sal refinado,"1,279","1,301","1,394","1,440","0,751"
      Outros,"0,034","0,059","0,048","0,025","0,014"
   Condimentos,"2,579","2,817","2,602","2,334","2,912"
      Caldo de carne em tablete,"0,020","0,011","0,014","0,025","0,022"
      Caldo de galinha em tablete,"0,029","0,009","0,015","0,045","0,027"
      Outros caldos em tablete,"0,029","0,008","0,007","0,055","0,012"
      Colorau,"0,028","0,019","0,042","0,017","0,043"
      Fermento,"0,054","0,057","0,059","0,048","0,062"
      Leite de coco,"0,058","0,086","0,024","0,034","0,127"
      Maionese,"0,266","0,366","0,314","0,214","0,242"
      Massa de tomate,"0,576","0,636","0,436","0,745","0,285"
      Molho de tomate,"0,683","0,800","0,681","0,538","0,917"
      Tempero misto,"0,156","0,142","0,241","0,136","0,119"
      Vinagre de álcool,"0,158","0,161","0,163","0,164","0,134"
      Vinagre de vinho,"0,054","0,013","0,118","0,012","0,119"
      Vinagre não especificado,"0,116","0,081","0,104","0,059","0,293"
      Outros,"0,353","0,427","0,385","0,241","0,510"
Óleos e gorduras,"7,592","8,565","6,581","8,731","5,218"
   Óleos,"6,614","7,405","5,655","7,768","4,305"
      Azeite de oliva,"0,261","0,311","0,111","0,209","0,507"
      Óleo de girassol,"0,128","0,093","0,263","0,060","0,166"
      Óleo de canola,"0,022","0,059","0,011","0,019","0,010"
      Óleo de milho,"0,157","0,058","0,132","0,208","0,153"
      Óleo de soja,"5,951","6,774","5,115","7,176","3,307"
      Óleo não especificado,"0,065","0,076","0,006","0,071","0,106"
      Outros,"0,030","0,034","0,017","0,025","0,056"
   Gorduras,"0,979","1,160","0,926","0,963","0,913"
      Banha de porco,"0,103","0,045","0,193","0,098","0,066"
      Margarina vegetal,"0,876","1,115","0,734","0,865","0,847"
      Outras,-,-,-,-,-
Bebidas e infusões,"40,473","37,844","39,122","42,872","38,798"
   Bebidas alcoólicas,"8,605","9,139","7,048","9,136","8,664"
      Aguardente de cana,"0,092","0,120","0,117","0,067","0,098"
      Outras aguardentes,-,-,-,-,-
      Cerveja,"7,991","8,407","6,499","8,649","7,784"
      Vinho,"0,413","0,418","0,357","0,381","0,551"
      Outras,"0,109","0,194","0,075","0,039","0,232"
   Bebidas não alcoólicas,"28,987","24,698","29,496","31,124","27,300"
      Água mineral,"12,208","5,829","13,099","14,709","11,124"
      Refrigerante de cola,"7,066","6,709","7,510","7,252","6,451"
      Refrigerante de guaraná,"3,573","5,608","3,589","3,480","1,932"
      Refrigerante de laranja,"0,882","0,897","1,294","0,848","0,480"
      Refrigerante de limão,"0,398","0,245","0,690","0,336","0,347"
      Refrigerante de maçã,-,-,-,-,-
      Refrigerante de uva,"0,161","0,366","0,133","0,104","0,139"
      Bebida energética,"0,202","0,075","0,129","0,246","0,296"
      Refrigerante não especificado,"1,064","2,302","0,682","0,839","0,907"
      Outros refrigerantes,"0,234","0,301","0,178","0,221","0,269"
      Suco de fruta em pó,"0,358","0,262","0,434","0,456","0,130"
      Suco de fruta envasado,"2,372","1,828","1,548","2,181","4,248"
      Outras,"0,469","0,276","0,209","0,453","0,977"
   Cafés,"2,451","2,556","2,208","2,565","2,365"
      Café moído,"2,275","2,495","2,027","2,314","2,269"
      Café solúvel,"0,051","0,035","0,058","0,048","0,064"
      Outros,"0,125","0,026","0,123","0,203","0,032"
   Chás,"0,430","1,450","0,369","0,047","0,470"
      Chá-mate,"0,407","1,435","0,363","0,041","0,380"
      Outros,"0,023","0,015","0,007","0,006","0,089"
Alimentos preparados e misturas industriais,"3,768","5,535","2,196","3,036","5,672"
   Alimentos preparados,"3,382","5,154","1,851","2,647","5,241"
      Alimento congelado,"0,305","0,054","0,070","0,288","0,836"
      Batata frita,"0,108","0,123","0,040","0,076","0,249"
      Carne-assada,"0,119","0,287","0,086","0,050","0,168"
      Frango assado ou defumado,"0,616","0,696","0,290","0,534","1,107"
