"Alimento","Região Sudeste",Minas Gerais,Espírito Santo,Rio de Janeiro,São Paulo
      Lambari fresco,"0,003","0,008","0,017",-,-
      Mapará fresco,"0,001","0,003",-,-,-
      Piau fresco,"0,001","0,003",-,-,-
      Surubim fresco,"0,005","0,021",-,-,-
      Tambaqui fresco,"0,000","0,002",-,-,-
      Tilápia fresca,"0,061","0,123","0,086","0,006","0,051"
      Traíra fresca,"0,004","0,017",-,-,-
      Tucunaré fresco,"0,001",-,-,-,"0,002"
      Outros pescados em filé congelado,"0,039","0,076",-,"0,004","0,039"
      Outros pescados em filé fresco,"0,026","0,018","0,003","0,003","0,041"
      Outros pescados frescos,"0,008","0,025",-,"0,003","0,003"
      Outros pescados salgados,"0,003","0,010",-,"0,006",-
   Pescados não especificados,"0,156","0,143","0,249","0,162","0,152"
      Peixe em filé congelado,"0,004","0,014","0,006",-,-
      Peixe em filé fresco,"0,001","0,002",-,-,-
      Peixe fresco,"0,151","0,127","0,243","0,162","0,149"
      Peixe salgado,"0,002",-,-,-,"0,003"
Aves e ovos,"12,777","13,457","10,776","14,089","12,141"
   Aves,"9,798","10,378","8,485","10,998","9,191"
      Asa de frango,"0,849","0,853","0,632","1,057","0,788"
      Carne de frango não especificada,"0,491","0,437","0,407","0,580","0,490"
      Coxa de frango,"2,056","1,671","1,623","2,600","2,067"
      Dorso de frango,"0,014","0,022","0,070","0,029","0,000"
      Frango abatido (inteiro),"2,455","4,394","2,935","1,192","1,993"
      Frango vivo,"0,039","0,148","0,066",-,-
      Miúdos de frango,"0,169","0,180","0,228","0,092","0,188"
      Peito de frango,"3,263","2,210","1,870","4,875","3,263"
      Outras carnes de frango,"0,225","0,126","0,273","0,291","0,243"
      Pato  inteiro ou em cortes,"0,002","0,007","0,010",-,-
      Peru abatido,"0,059","0,051","0,050","0,132","0,036"
      Peru em cortes,"0,156","0,237","0,312","0,126","0,117"
      Outras,"0,018","0,042","0,009","0,024","0,006"
   Ovos,"2,979","3,079","2,291","3,091","2,950"
      Ovo de galinha,"2,968","3,071","2,267","3,068","2,943"
      Outros,"0,012","0,008","0,025","0,023","0,007"
Laticínios,"38,449","43,073","26,421","27,906","41,335"
   Leite e creme de leite,"32,226","37,358","22,663","21,837","34,604"
      Creme de leite,"0,513","0,391","0,334","0,540","0,576"
      Leite condensado,"0,891","0,642","0,563","0,931","1,020"
      Leite de vaca fresco,"1,937","7,216","1,829","0,119","0,192"
      Leite de vaca pasteurizado,"27,485","28,152","18,557","18,981","31,162"
      Leite em pó desengordurado,"0,041","0,024","0,013","0,038","0,052"
      Leite em pó integral,"0,422","0,192","0,549","0,797","0,376"
      Leite em pó não especificado,"0,077","0,130","0,011","0,043","0,071"
      Outros,"0,858","0,612","0,808","0,388","1,154"
   Queijos e requeijão,"2,787","2,488","1,315","3,093","2,938"
      Queijo minas,"0,742","0,904","0,291","1,110","0,568"
      Queijo mozzarella,"1,054","0,812","0,513","0,604","1,382"
      Queijo não especificado,"0,087","0,164","0,178","0,057","0,055"
      Queijo parmezão,"0,120","0,057","0,032","0,118","0,157"
      Queijo prato,"0,250","0,068","0,067","0,620","0,210"
      Outros queijos,"0,131","0,089","0,048","0,129","0,158"
      Requeijão,"0,403","0,394","0,186","0,455","0,407"
