"Alimento","Total","Até 1 908 (1)","Mais de 1 908 a 2 862","Mais de 2 862 a 5 724","Mais de 5 724 a 9 540","Mais de 9 540 a 14 310","Mais de 14 310"
      Óleo de girassol,"0,237","0,071","0,105","0,108","0,240","0,215","1,410"
      Óleo de canola,"0,080","0,047",-,"0,025","0,121","0,052","0,480"
      Óleo de milho,"0,222","0,102","0,109","0,203","0,227","0,423","0,474"
      Óleo de soja,"5,102","5,438","5,601","5,388","4,812","4,032","4,315"
      Óleo não especificado,"0,082","0,053","0,011","0,104","0,130","0,099","0,001"
      Outros,"0,155","0,134","0,178","0,116","0,214","0,227","0,075"
   Gorduras,"1,599","1,382","1,748","1,838","1,493","1,262","1,237"
      Banha de porco,"0,317","0,312","0,165","0,474","0,295","0,150","0,127"
      Margarina vegetal,"1,278","1,070","1,565","1,361","1,198","1,113","1,091"
      Outras,"0,005",-,"0,017","0,003",-,-,"0,019"
Bebidas e infusões,"55,195","24,434","40,954","47,305","59,769","86,432","121,125"
   Bebidas alcoólicas,"11,909","4,039","7,918","9,761","13,307","20,896","28,217"
      Aguardente de cana,"0,237","0,409","0,207","0,223","0,191","0,134","0,328"
      Outras aguardentes,"0,004",-,-,"0,005","0,012",-,-
      Cerveja,"10,372","3,280","7,092","8,602","12,145","17,531","23,339"
      Vinho,"0,926","0,259","0,502","0,594","0,607","2,389","3,591"
      Outras,"0,370","0,091","0,117","0,337","0,352","0,842","0,960"
   Bebidas não alcoólicas,"38,330","16,015","27,972","32,843","41,655","60,105","86,130"
      Água mineral,"13,232","2,048","6,064","9,103","13,803","26,951","47,417"
      Refrigerante de cola,"12,017","7,380","9,777","11,071","14,745","15,987","16,053"
      Refrigerante de guaraná,"4,650","2,654","5,608","4,677","4,889","4,327","5,676"
      Refrigerante de laranja,"1,439","1,143","1,826","1,617","1,320","0,928","1,276"
      Refrigerante de limão,"1,019","0,379","1,219","0,902","1,048","1,584","1,478"
      Refrigerante de maçã,-,-,-,-,-,-,-
      Refrigerante de uva,"0,331","0,438","0,304","0,472","0,194","0,108","0,188"
      Bebida energética,"0,286","0,088","0,131","0,307","0,310","0,434","0,564"
      Refrigerante não especificado,"1,337","0,752","1,059","1,610","1,528","1,193","1,180"
      Outros refrigerantes,"0,529","0,229","0,305","0,680","0,154","0,940","1,313"
      Suco de fruta em pó,"0,453","0,514","0,530","0,503","0,377","0,357","0,286"
