"Alimento", "Até 1 908 (1)","Mais de 1 908 a 2 862","Mais de 2 862 a 5 724","Mais de 5 724 a 9 540","Mais de 9 540 a 14 310","Mais de 14 310"
      Queijo parmezão,"0,120","0,032","0,037","0,080","0,122","0,266","0,455"
      Queijo prato,"0,250","0,092","0,120","0,171","0,245","0,683","0,692"
      Outros queijos,"0,131","0,035","0,031","0,062","0,129","0,258","0,663"
      Requeijão,"0,403","0,094","0,204","0,299","0,556","0,963","0,874"
   Outros laticínios,"3,436","1,853","1,831","3,051","3,812","5,445","8,126"
      Iogurte,"1,792","1,163","0,916","1,634","1,970","2,707","3,967"
      Leite fermentado,"1,215","0,469","0,713","1,124","1,293","2,100","2,818"
      Manteiga,"0,351","0,191","0,173","0,239","0,448","0,573","1,020"
      Outros,"0,078","0,029","0,029","0,055","0,100","0,065","0,322"
"Açúcares, doces e produtos de confeitaria","14,006","12,525","12,453","14,444","13,980","15,205","16,571"
   Açúcares,"10,434","11,101","10,358","11,396","9,721","9,116","8,190"
      Açúcar cristal,"5,489","5,800","5,906","6,438","5,410","3,503","2,206"
      Açúcar demerara,"0,126","0,004","0,074","0,070","0,159","0,251","0,480"
      Açúcar não especificado,"0,628","0,748","0,831","0,424","0,537","1,167","0,567"
      Açúcar refinado,"4,140","4,527","3,525","4,434","3,555","4,114","4,746"
      Outros,"0,050","0,021","0,021","0,030","0,061","0,080","0,192"
   Doces e produtos de confeitaria,"2,628","0,889","1,389","2,143","3,302","4,527","6,738"
      Bombom,"0,186","0,071","0,074","0,152","0,327","0,307","0,321"
      Chocolate em tablete,"0,272","0,052","0,126","0,185","0,310","0,571","0,927"
      Doce a base de leite,"0,078","0,053","0,074","0,070","0,112","0,076","0,087"
      Doce de fruta cristalizado,"0,006",-,"0,002","0,005","0,008","0,004","0,024"
      Doce de fruta em calda,"0,026","0,028","0,010","0,027","0,023","0,029","0,052"
      Doce de fruta em pasta,"0,165","0,043","0,117","0,155","0,218","0,188","0,368"
      Rapadura,"0,024","0,025","0,051","0,019","0,019","0,013","0,014"
      Sorvete,"1,157","0,390","0,504","1,023","1,582","1,786","2,752"
      Outros,"0,714","0,228","0,430","0,506","0,703","1,554","2,193"
